序号,电影名,评分,推荐语,链接
73,飞越疯人院,9.1,自由万岁。,https://movie.douban.com/subject/1292224/
74,小鞋子,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
75,阿凡达,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
76,哈利·波特与死亡圣器(下),9.0,10年的完美句点。,https://movie.douban.com/subject/3011235/
77,沉默的羔羊,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
78,致命魔术,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
79,禁闭岛,8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
80,布达佩斯大饭店,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
81,海豚湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
82,蝴蝶效应,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
83,美国往事,9.2,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
84,心灵捕手,8.9,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
85,低俗小说,8.9,故事的高级讲法。,https://movie.douban.com/subject/1291832/
86,春光乍泄,9.0,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
87,摩登时代,9.3,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
88,喜剧之王,8.8,我是一个演员。,https://movie.douban.com/subject/1302425/
89,功夫,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
90,七宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
91,哈利·波特与阿兹卡班的囚徒,8.9,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
92,超脱,9.0,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
93,致命ID,8.8,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
94,杀人回忆,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
95,红辣椒,9.1,梦的勾结。,https://movie.douban.com/subject/1865703/
96,加勒比海盗,8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
97,被嫌弃的松子的一生,8.9,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
98,狩猎,9.1,人言可畏。,https://movie.douban.com/subject/6985810/
99,7号房的礼物,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
100,请以你的名字呼唤我,8.9,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
101,剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
102,断背山,8.8,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
103,唐伯虎点秋香,8.7,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
104,哈利·波特与密室,8.8,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
105,勇敢的心,8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/
106,一一,9.1,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
107,入殓师,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
108,第六感,8.9,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
109,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
110,重庆森林,8.8,寂寞没有期限。,https://movie.douban.com/subject/1291999/
111,蝙蝠侠：黑暗骑士崛起,8.8,诺兰就是保证。,https://movie.douban.com/subject/3395373/
112,天使爱美丽,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/
113,幽灵公主,8.9,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
114,菊次郎的夏天,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
115,小森林 夏秋篇,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
116,阳光灿烂的日子,8.9,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
117,超能陆战队,8.7,Balalala~~~,https://movie.douban.com/subject/11026735/
118,完美的世界,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
119,爱在日落黄昏时,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
120,无人知晓,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
121,消失的爱人,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/
122,甜蜜蜜,8.9,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
123,借东西的小人阿莉埃蒂,8.9,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
124,倩女幽魂,8.8,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
125,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
126,侧耳倾听,8.9,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
127,时空恋旅人,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
128,幸福终点站,8.8,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
129,驯龙高手,8.8,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
130,萤火之森,8.9,触不到的恋人。,https://movie.douban.com/subject/5989818/
131,教父3,9.0,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
132,寄生虫,8.8,,https://movie.douban.com/subject/27010768/
133,怪兽电力公司,8.8,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
134,一个叫欧维的男人决定去死,8.9,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
135,玛丽和马克思,8.9,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
136,玩具总动员3,8.9,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
137,未麻的部屋,9.1,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
138,傲慢与偏见,8.7,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
139,神偷奶爸,8.6,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
140,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
141,告白,8.8,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
142,釜山行,8.6,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
143,被解救的姜戈,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
144,哈利·波特与火焰杯,8.7,,https://movie.douban.com/subject/1309055/
145,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
146,射雕英雄传之东成西就,8.7,百看不厌。 ,https://movie.douban.com/subject/1316510/
147,哪吒闹海,9.1,想你时你在闹海。,https://movie.douban.com/subject/1307315/
148,新世界,8.9,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
149,我是山姆,9.0,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
150,恐怖直播,8.7,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
151,头号玩家,8.7,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
152,血战钢锯岭,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
153,模仿游戏,8.8,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
154,喜宴,9.0,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
155,七武士,9.3,时代悲歌。,https://movie.douban.com/subject/1295399/
156,花样年华,8.7,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
157,头脑特工队,8.8,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
158,黑客帝国3：矩阵革命,8.8,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
159,九品芝麻官,8.7,,https://movie.douban.com/subject/1297518/
160,电锯惊魂,8.8,真相就在眼前。,https://movie.douban.com/subject/1417598/
161,三块广告牌,8.7,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
162,达拉斯买家俱乐部,8.8,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
163,你的名字。,8.5,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
164,惊魂记,9.0,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
165,卢旺达饭店,8.9,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
166,疯狂原始人,8.7,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
167,上帝之城,9.0,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
168,谍影重重3,8.8,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
169,心迷宫,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
170,英雄本色,8.6,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
171,风之谷,8.9,动画片的圣经。,https://movie.douban.com/subject/1291585/
172,纵横四海,8.8,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
173,色，戒,8.6,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
174,海街日记,8.8,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
175,岁月神偷,8.7,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
176,记忆碎片,8.7,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
177,茶馆,9.5,,https://movie.douban.com/subject/1461403/
178,爱在午夜降临前,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
179,忠犬八公物语,9.2,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
180,绿里奇迹,8.9,天使暂时离开。,https://movie.douban.com/subject/1300374/
181,荒蛮故事,8.8,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
182,爆裂鼓手,8.7,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
183,小偷家族,8.7,我们组成了家。,https://movie.douban.com/subject/27622447/
184,贫民窟的百万富翁,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
185,疯狂的石头,8.6,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
186,无敌破坏王,8.7,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
187,东邪西毒,8.6,电影诗。,https://movie.douban.com/subject/1292328/
188,雨中曲,9.1,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
189,真爱至上,8.6,爱，是个动词。,https://movie.douban.com/subject/1292401/
190,冰川时代,8.6,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
191,恐怖游轮,8.5,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
192,你看起来好像很好吃,8.9,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
193,2001太空漫游,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
194,黑天鹅,8.6,黑暗之美。,https://movie.douban.com/subject/1978709/
195,无间道2,8.7,,https://movie.douban.com/subject/1307106/
196,魔女宅急便,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
197,遗愿清单,8.7,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
198,牯岭街少年杀人事件,8.9,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
199,背靠背，脸对脸,9.5,,https://movie.douban.com/subject/1307856/
200,雨人,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
201,小丑,8.7,,https://movie.douban.com/subject/27119724/
202,大佛普拉斯,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
203,恋恋笔记本,8.6,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
204,可可西里,8.9,坚硬的信仰。,https://movie.douban.com/subject/1308857/
205,城市之光,9.3,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
206,东京教父,9.0,,https://movie.douban.com/subject/1310177/
207,源代码,8.5,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
208,萤火虫之墓,8.7,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
209,初恋这件小事,8.5,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
210,虎口脱险,8.9,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
211,人工智能,8.7,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
212,海边的曼彻斯特,8.6,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
213,罗生门,8.8,人生的N种可能性。,https://movie.douban.com/subject/1291879/
214,心灵奇旅,8.7,,https://movie.douban.com/subject/24733428/
215,青蛇,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
216,波西米亚狂想曲,8.6,,https://movie.douban.com/subject/5300054/
217,终结者2：审判日,8.8,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
218,疯狂的麦克斯4：狂暴之路,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,https://movie.douban.com/subject/3592854/
219,新龙门客栈,8.7,嬉笑怒骂，调风动月。,https://movie.douban.com/subject/1292287/
220,奇迹男孩,8.6,世界不完美，爱会有奇迹。,https://movie.douban.com/subject/26787574/
221,二十二,8.7,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
222,房间,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
223,无耻混蛋,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,https://movie.douban.com/subject/1438652/
224,千钧一发,8.8,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
225,血钻,8.7,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
226,崖上的波妞,8.6,,https://movie.douban.com/subject/1959877/
227,彗星来的那一夜,8.5,小成本大魅力。,https://movie.douban.com/subject/25807345/
228,黑客帝国2：重装上阵,8.7,一个精彩的世界观正在缓缓建立。,https://movie.douban.com/subject/1304141/
229,魂断蓝桥,8.8,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
230,步履不停,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://movie.douban.com/subject/2222996/
231,战争之王,8.7,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
232,爱乐之城,8.4,,https://movie.douban.com/subject/25934014/
233,谍影重重2,8.7,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
234,末路狂花,8.9,没有了退路，只好飞向自由。,https://movie.douban.com/subject/1291992/
235,燃情岁月,8.8,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
236,火星救援,8.5,,https://movie.douban.com/subject/25864085/
237,千年女优,8.8,爱情是一场没有尽头的虚幻追逐。,https://movie.douban.com/subject/1307394/
238,阿飞正传,8.5,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
239,再次出发之纽约遇见你,8.6,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
240,谍影重重,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
241,朗读者,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
242,海洋,9.1,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
243,花束般的恋爱,8.6,,https://movie.douban.com/subject/34874432/
244,香水,8.5,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
245,穿越时空的少女,8.6,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
246,地球上的星星,8.9,天使保护事件始末。,https://movie.douban.com/subject/2363506/
247,我爱你,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
248,完美陌生人,8.5,来啊，互相伤害啊！,https://movie.douban.com/subject/26614893/
249,弱点,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,https://movie.douban.com/subject/3552028/
250,哈利·波特与死亡圣器(上),8.5,最忠于原著的一部。,https://movie.douban.com/subject/2051007/
